"","Var1","Var2","Var3","Var4","value"
"536",2,2,3,20,21
"537",3,2,3,20,21
"538",1,3,3,20,27
"539",2,3,3,20,27
"540",3,3,3,20,27
"541",1,1,1,21,143
"542",2,1,1,21,143
"543",3,1,1,21,143
"544",1,2,1,21,169
"545",2,2,1,21,169
"546",3,2,1,21,169
"547",1,3,1,21,475
"548",2,3,1,21,475
"549",3,3,1,21,475
"550",1,1,2,21,94
"551",2,1,2,21,94
"552",3,1,2,21,94
"553",1,2,2,21,54
"554",2,2,2,21,54
"555",3,2,2,21,54
"556",1,3,2,21,101
"557",2,3,2,21,101
"558",3,3,2,21,101
"559",1,1,3,21,56
"560",2,1,3,21,56
"561",3,1,3,21,56
"562",1,2,3,21,36
"563",2,2,3,21,36
"564",3,2,3,21,36
"565",1,3,3,21,23
"566",2,3,3,21,23
"567",3,3,3,21,23
"568",1,1,1,22,104
"569",2,1,1,22,103
"570",3,1,1,22,105
"571",1,2,1,22,205
"572",2,2,1,22,205
"573",3,2,1,22,205
"574",1,3,1,22,113
"575",2,3,1,22,113
"576",3,3,1,22,113
"577",1,1,2,22,90
"578",2,1,2,22,90
"579",3,1,2,22,92
"580",1,2,2,22,79
"581",2,2,2,22,79
"582",3,2,2,22,79
"583",1,3,2,22,113
"584",2,3,2,22,114
"585",3,3,2,22,114
"586",1,1,3,22,32
"587",2,1,3,22,32
"588",3,1,3,22,35
"589",1,2,3,22,21
"590",2,2,3,22,21
"591",3,2,3,22,21
"592",1,3,3,22,20
"593",2,3,3,22,20
"594",3,3,3,22,20
"595",1,1,1,23,557
"596",2,1,1,23,557
"597",3,1,1,23,557
"598",1,2,1,23,166
"599",2,2,1,23,166
"600",3,2,1,23,166
"601",1,3,1,23,32
"602",2,3,1,23,16
"603",3,3,1,23,32
"604",1,1,2,23,114
"605",2,1,2,23,114
"606",3,1,2,23,114
"607",1,2,2,23,105
"608",2,2,2,23,105
"609",3,2,2,23,105
"610",1,3,2,23,114
"611",2,3,2,23,114
"612",3,3,2,23,114
"613",1,1,3,23,40
"614",2,1,3,23,42
"615",3,1,3,23,42
"616",1,2,3,23,27
"617",2,2,3,23,27
"618",3,2,3,23,27
"619",1,3,3,23,19
"620",2,3,3,23,19
"621",3,3,3,23,19
"622",1,1,1,24,410
"623",2,1,1,24,410
"624",3,1,1,24,410
"625",1,2,1,24,200
"626",2,2,1,24,200
"627",3,2,1,24,200
"628",1,3,1,24,233
"629",2,3,1,24,233
"630",3,3,1,24,233
"631",1,1,2,24,191
"632",2,1,2,24,191
"633",3,1,2,24,191
"634",1,2,2,24,53
"635",2,2,2,24,53
"636",3,2,2,24,53
"637",1,3,2,24,63
"638",2,3,2,24,63
"639",3,3,2,24,63
"640",1,1,3,24,24
"641",2,1,3,24,24
"642",3,1,3,24,31
"643",1,2,3,24,30
"644",2,2,3,24,30
"645",3,2,3,24,30
"646",1,3,3,24,33
"647",2,3,3,24,33
"648",3,3,3,24,33
"649",1,1,1,25,242
"650",2,1,1,25,243
"651",3,1,1,25,243
"652",1,2,1,25,98
"653",2,2,1,25,98
"654",3,2,1,25,98
"655",1,3,1,25,109
"656",2,3,1,25,109
"657",3,3,1,25,109
"658",1,1,2,25,85
"659",2,1,2,25,85
"660",3,1,2,25,85
"661",1,2,2,25,45
"662",2,2,2,25,45
"663",3,2,2,25,45
"664",1,3,2,25,49
"665",2,3,2,25,49
"666",3,3,2,25,49
"667",1,1,3,25,110
"668",2,1,3,25,111
"669",3,1,3,25,111
"670",1,2,3,25,34
"671",2,2,3,25,34
"672",3,2,3,25,34
"673",1,3,3,25,22
"674",2,3,3,25,22
"675",3,3,3,25,22
"676",1,1,1,26,298
"677",2,1,1,26,298
"678",3,1,1,26,298
"679",1,2,1,26,155
"680",2,2,1,26,156
"681",3,2,1,26,156
"682",1,3,1,26,173
"683",2,3,1,26,173
"684",3,3,1,26,173
"685",1,1,2,26,51
"686",2,1,2,26,42
"687",3,1,2,26,51
"688",1,2,2,26,25
"689",2,2,2,26,25
"690",3,2,2,26,25
"691",1,3,2,26,114
"692",2,3,2,26,114
"693",3,3,2,26,114
"694",1,1,3,26,38
"695",2,1,3,26,39
"696",3,1,3,26,39
"697",1,2,3,26,22
"698",2,2,3,26,22
"699",3,2,3,26,22
"700",1,3,3,26,20
"701",2,3,3,26,20
"702",3,3,3,26,20
"703",1,1,1,27,171
"704",2,1,1,27,171
"705",3,1,1,27,171
"706",1,2,1,27,225
"707",2,2,1,27,225
"708",3,2,1,27,225
"709",1,3,1,27,282
"710",2,3,1,27,282
"711",3,3,1,27,282
"712",1,1,2,27,96
"713",2,1,2,27,51
"714",3,1,2,27,96
"715",1,2,2,27,45
"716",2,2,2,27,45
"717",3,2,2,27,45
"718",1,3,2,27,39
"719",2,3,2,27,39
"720",3,3,2,27,39
"721",1,1,3,27,36
"722",2,1,3,27,32
"723",3,1,3,27,36
"724",1,2,3,27,25
"725",2,2,3,27,25
"726",3,2,3,27,25
"727",1,3,3,27,20
"728",2,3,3,27,20
"729",3,3,3,27,20
"730",1,1,1,28,470
"731",2,1,1,28,470
"732",3,1,1,28,470
"733",1,2,1,28,60
