"","Var1","Var2","Var3","value"
"723",3,1,61,16
"724",1,2,61,8
"725",2,2,61,8
"726",3,2,61,8
"727",1,3,61,4
"728",2,3,61,4
"729",3,3,61,4
"730",1,4,61,2
"731",2,4,61,2
"732",3,4,61,2
"733",1,1,62,22
"734",2,1,62,22
"735",3,1,62,22
"736",1,2,62,6
"737",2,2,62,6
"738",3,2,62,5
"739",1,3,62,4
"740",2,3,62,4
"741",3,3,62,4
"742",1,4,62,2
"743",2,4,62,2
"744",3,4,62,2
"745",1,1,63,10
"746",2,1,63,10
"747",3,1,63,10
"748",1,2,63,5
"749",2,2,63,5
"750",3,2,63,5
"751",1,3,63,3
"752",2,3,63,3
"753",3,3,63,3
"754",1,4,63,2
"755",2,4,63,2
"756",3,4,63,1
"757",1,1,64,16
"758",2,1,64,16
"759",3,1,64,15
"760",1,2,64,8
"761",2,2,64,8
"762",3,2,64,8
"763",1,3,64,3
"764",2,3,64,3
"765",3,3,64,3
"766",1,4,64,2
"767",2,4,64,2
"768",3,4,64,2
"769",1,1,65,55
"770",2,1,65,55
"771",3,1,65,55
"772",1,2,65,8
"773",2,2,65,8
"774",3,2,65,8
"775",1,3,65,5
"776",2,3,65,5
"777",3,3,65,5
"778",1,4,65,2
"779",2,4,65,2
"780",3,4,65,2
"781",1,1,66,24
"782",2,1,66,24
"783",3,1,66,24
"784",1,2,66,6
"785",2,2,66,6
"786",3,2,66,5
"787",1,3,66,3
"788",2,3,66,3
"789",3,3,66,3
"790",1,4,66,1
"791",2,4,66,1
"792",3,4,66,1
"793",1,1,67,41
"794",2,1,67,41
"795",3,1,67,41
"796",1,2,67,11
"797",2,2,67,11
"798",3,2,67,11
"799",1,3,67,3
"800",2,3,67,3
"801",3,3,67,3
"802",1,4,67,2
"803",2,4,67,2
"804",3,4,67,2
"805",1,1,68,26
"806",2,1,68,26
"807",3,1,68,19
"808",1,2,68,5
"809",2,2,68,5
"810",3,2,68,5
"811",1,3,68,6
"812",2,3,68,6
"813",3,3,68,6
"814",1,4,68,2
"815",2,4,68,2
"816",3,4,68,2
"817",1,1,69,31
"818",2,1,69,31
"819",3,1,69,31
"820",1,2,69,4
"821",2,2,69,4
"822",3,2,69,4
"823",1,3,69,3
"824",2,3,69,3
"825",3,3,69,3
"826",1,4,69,2
"827",2,4,69,2
