"","Var1","Var2","Var3","Var4","value"
"836",2,3,3,31,21
"837",3,3,3,31,21
"838",1,1,1,32,80
"839",2,1,1,32,67
"840",3,1,1,32,81
"841",1,2,1,32,282
"842",2,2,1,32,282
"843",3,2,1,32,282
"844",1,3,1,32,282
"845",2,3,1,32,282
"846",3,3,1,32,282
"847",1,1,2,32,62
"848",2,1,2,32,62
"849",3,1,2,32,62
"850",1,2,2,32,25
"851",2,2,2,32,25
"852",3,2,2,32,25
"853",1,3,2,32,160
"854",2,3,2,32,160
"855",3,3,2,32,160
"856",1,1,3,32,13
"857",2,1,3,32,13
"858",3,1,3,32,13
"859",1,2,3,32,46
"860",2,2,3,32,46
"861",3,2,3,32,46
"862",1,3,3,32,21
"863",2,3,3,32,21
"864",3,3,3,32,21
"865",1,1,1,33,123
"866",2,1,1,33,123
"867",3,1,1,33,123
"868",1,2,1,33,305
"869",2,2,1,33,305
"870",3,2,1,33,305
"871",1,3,1,33,172
"872",2,3,1,33,172
"873",3,3,1,33,172
"874",1,1,2,33,87
"875",2,1,2,33,87
"876",3,1,2,33,87
"877",1,2,2,33,119
"878",2,2,2,33,119
"879",3,2,2,33,119
"880",1,3,2,33,50
"881",2,3,2,33,50
"882",3,3,2,33,50
"883",1,1,3,33,46
"884",2,1,3,33,39
"885",3,1,3,33,46
"886",1,2,3,33,16
"887",2,2,3,33,16
"888",3,2,3,33,16
"889",1,3,3,33,22
"890",2,3,3,33,22
"891",3,3,3,33,22
"892",1,1,1,34,223
"893",2,1,1,34,223
"894",3,1,1,34,223
"895",1,2,1,34,429
"896",2,2,1,34,429
"897",3,2,1,34,429
"898",1,3,1,34,258
"899",2,3,1,34,258
"900",3,3,1,34,258
"901",1,1,2,34,41
"902",2,1,2,34,41
"903",3,1,2,34,41
"904",1,2,2,34,43
"905",2,2,2,34,43
"906",3,2,2,34,43
"907",1,3,2,34,98
"908",2,3,2,34,98
"909",3,3,2,34,98
"910",1,1,3,34,22
"911",2,1,3,34,22
"912",3,1,3,34,22
"913",1,2,3,34,25
"914",2,2,3,34,26
"915",3,2,3,34,26
"916",1,3,3,34,18
"917",2,3,3,34,18
"918",3,3,3,34,18
"919",1,1,1,35,244
"920",2,1,1,35,244
"921",3,1,1,35,244
"922",1,2,1,35,309
"923",2,2,1,35,309
"924",3,2,1,35,309
"925",1,3,1,35,132
"926",2,3,1,35,132
"927",3,3,1,35,132
"928",1,1,2,35,91
"929",2,1,2,35,91
"930",3,1,2,35,92
"931",1,2,2,35,62
"932",2,2,2,35,62
"933",3,2,2,35,63
"934",1,3,2,35,111
"935",2,3,2,35,111
"936",3,3,2,35,111
"937",1,1,3,35,24
"938",2,1,3,35,24
"939",3,1,3,35,24
"940",1,2,3,35,15
"941",2,2,3,35,15
"942",3,2,3,35,15
"943",1,3,3,35,27
"944",2,3,3,35,27
"945",3,3,3,35,27
"946",1,1,1,36,84
"947",2,1,1,36,84
"948",3,1,1,36,84
"949",1,2,1,36,204
"950",2,2,1,36,204
"951",3,2,1,36,204
"952",1,3,1,36,239
"953",2,3,1,36,239
"954",3,3,1,36,239
"955",1,1,2,36,47
"956",2,1,2,36,47
"957",3,1,2,36,47
"958",1,2,2,36,108
